Zip,Total,White,Black,Asian,Biracial,Other,state_name,Male,Female,Age,Home Price,Houses,Household Income
65257,1465,1435,7,0,17,6,Missouri,781,684,50.0,77900.0,576.0,55973.0
65265,15059,13480,700,16,723,140,Missouri,7251,7808,40.3,103500.0,5941.0,54680.0
65032,1671,1639,0,0,21,11,Missouri,866,805,39.7,127400.0,645.0,100863.0
65035,2075,2075,0,0,0,0,Missouri,1011,1064,36.3,160500.0,689.0,72424.0
65037,4465,4303,45,60,57,0,Missouri,2158,2307,58.4,163600.0,2118.0,56799.0
65041,5429,5270,23,17,87,32,Missouri,2772,2657,48.5,146300.0,2394.0,74870.0
65051,4813,4576,24,9,67,137,Missouri,2587,2226,37.0,137800.0,1808.0,60671.0
65068,729,692,0,13,24,0,Missouri,406,323,35.6,124600.0,250.0,76312.0
65074,2723,2682,0,0,36,5,Missouri,1327,1396,42.6,156800.0,1065.0,65309.0
65078,4037,3944,12,5,76,0,Missouri,2038,1999,43.7,87500.0,1499.0,43351.0
65246,33,31,2,0,0,0,Missouri,14,19,41.9,,12.0,124900.0
65010,6197,5925,24,11,184,53,Missouri,3139,3058,39.0,203800.0,2359.0,84217.0
65013,2727,2690,0,22,10,5,Missouri,1319,1408,48.3,120200.0,1275.0,46165.0
65016,1423,1423,0,0,0,0,Missouri,775,648,45.7,159100.0,541.0,75626.0
65274,1836,1777,26,6,10,17,Missouri,863,973,39.3,104300.0,684.0,58389.0
65339,527,514,0,2,11,0,Missouri,277,250,39.8,65700.0,202.0,49685.0
65320,45,45,0,0,0,0,Missouri,11,34,64.1,99200.0,27.0,55744.0
65332,1406,1368,13,3,22,0,Missouri,731,675,41.4,131300.0,520.0,62496.0
65337,2055,1699,14,0,14,328,Missouri,1017,1038,32.4,119200.0,712.0,57524.0
65606,3171,3058,11,28,14,60,Missouri,1652,1519,50.7,69600.0,1336.0,38341.0
65650,1732,1731,0,0,0,1,Missouri,934,798,43.0,116200.0,544.0,56094.0
65017,879,861,0,0,0,18,Missouri,464,415,50.5,,440.0,39421.0
65023,1816,1789,0,0,6,21,Missouri,878,938,40.0,175700.0,679.0,82761.0
65075,927,907,7,1,12,0,Missouri,480,447,38.9,153100.0,324.0,76951.0
65080,1167,1146,21,0,0,0,Missouri,662,505,39.4,181800.0,470.0,68197.0
65083,336,336,0,0,0,0,Missouri,163,173,18.8,58000.0,95.0,56566.0
65244,379,353,0,0,26,0,Missouri,173,206,34.7,137500.0,145.0,53749.0
65258,437,437,0,0,0,0,Missouri,220,217,47.5,110700.0,184.0,67394.0
65270,17122,14970,1399,114,475,164,Missouri,8993,8129,37.7,100700.0,5702.0,56104.0
65280,292,292,0,0,0,0,Missouri,126,166,52.3,84300.0,124.0,56151.0
65281,2802,2644,79,0,76,3,Missouri,1368,1434,41.5,84700.0,993.0,56023.0
65283,429,423,0,6,0,0,Missouri,225,204,60.8,141300.0,226.0,91420.0
65287,342,334,0,0,4,4,Missouri,164,178,53.5,137500.0,157.0,69825.0
65344,227,207,2,0,8,10,Missouri,120,107,40.8,121400.0,85.0,87409.0
65354,666,517,8,4,0,137,Missouri,261,405,42.3,172900.0,232.0,60265.0
65360,5246,5069,38,1,138,0,Missouri,2523,2723,36.5,95700.0,1779.0,56157.0
65653,5981,5659,64,55,161,42,Missouri,2797,3184,50.3,113800.0,2434.0,51782.0
